order_id,customer_id,company_id,city,amount,order_date,status
1,608,17,Sumgait,112.75,2025-06-22,returned
2,770,9,Sumgait,175.62,2025-03-15,returned
3,485,12,Lankaran,270.8,2025-05-10,failed
4,905,20,Lankaran,151.63,2025-12-18,returned
5,214,8,Lankaran,277.79,2025-02-06,delivered
6,606,9,Shaki,244.05,2025-12-10,delivered
7,183,20,Lankaran,108.25,2025-01-24,returned
8,855,18,Mingachevir,284.21,2025-10-26,failed
9,382,13,Lankaran,258.51,2025-10-22,delivered
10,376,15,Ganja,138.09,2025-03-20,delivered
11,622,5,Sumgait,241.86,2025-10-25,delivered
12,398,19,Lankaran,293.94,2025-10-01,failed
13,900,11,Lankaran,15.62,2025-08-10,returned
14,1,9,Baku,168.03,2025-12-07,failed
15,280,5,Lankaran,216.81,2025-10-03,delivered
16,121,6,Shaki,32.6,2025-12-17,delivered
17,236,7,Shaki,216.57,2025-07-04,failed
18,313,9,Baku,239.94,2025-07-29,failed
19,477,9,Sumgait,111.95,2025-06-27,cancelled
20,204,18,Baku,261.2,2025-01-06,cancelled
21,680,2,Ganja,235.26,2025-06-29,cancelled
22,152,18,Shaki,176.72,2025-09-14,returned
23,513,17,Mingachevir,68.64,2025-03-04,failed
24,162,17,Baku,138.04,2025-08-17,returned
25,107,16,Shaki,273.22,2025-03-17,failed
26,802,8,Ganja,266.26,2025-01-10,returned
27,54,20,Baku,158.81,2025-01-21,delivered
28,654,16,Ganja,110.4,2025-11-12,failed
29,797,10,Lankaran,221.93,2025-09-09,cancelled
30,415,3,Lankaran,249.64,2025-05-13,failed
31,805,17,Lankaran,32.62,2025-11-24,cancelled
32,22,19,Mingachevir,19.63,2025-09-08,delivered
33,103,14,Sumgait,15.28,2025-10-20,returned
34,641,2,Shaki,253.09,2025-02-19,delivered
35,960,3,Baku,54.5,2025-12-28,cancelled
36,953,16,Shaki,53.01,2025-02-02,failed
37,924,5,Sumgait,288.82,2025-01-24,failed
38,373,10,Mingachevir,157.14,2025-10-31,cancelled
39,976,6,Shaki,60.56,2025-11-29,cancelled
40,674,11,Ganja,80.69,2025-03-08,cancelled
41,405,7,Lankaran,73.54,2025-09-10,cancelled
42,957,17,Mingachevir,266.3,2025-09-25,cancelled
43,822,17,Lankaran,56.01,2025-03-12,returned
44,249,14,Baku,298.4,2025-12-22,cancelled
45,741,6,Sumgait,104.57,2025-09-15,returned
46,344,16,Sumgait,184.71,2025-02-16,returned
47,56,17,Lankaran,216.92,2025-05-21,returned
48,629,15,Ganja,16.47,2025-06-27,failed
49,70,2,Mingachevir,39.07,2025-06-26,delivered
50,395,7,Shaki,11.0,2025-05-21,cancelled
51,10,2,Lankaran,57.23,2025-03-27,delivered
52,31,18,Baku,180.06,2025-08-10,delivered
53,651,5,Mingachevir,162.14,2025-06-18,failed
54,378,20,Mingachevir,141.25,2025-11-16,returned
55,999,10,Sumgait,23.33,2025-05-24,returned
56,607,7,Sumgait,277.72,2025-03-21,cancelled
57,402,19,Ganja,278.63,2025-04-21,delivered
58,566,18,Baku,212.98,2025-08-19,failed
59,538,9,Lankaran,101.05,2025-01-03,failed
60,495,6,Mingachevir,223.61,2025-08-05,failed
61,821,2,Sumgait,196.83,2025-11-18,returned
62,803,11,Lankaran,10.88,2025-07-27,returned
63,868,9,Shaki,96.68,2025-03-31,cancelled
64,790,9,Sumgait,220.39,2025-08-10,failed
65,46,20,Sumgait,217.67,2025-01-27,cancelled
66,364,17,Sumgait,280.93,2025-12-14,returned
67,41,4,Baku,171.52,2025-11-09,returned
68,433,3,Sumgait,283.51,2025-01-16,cancelled
69,475,1,Ganja,17.8,2025-12-19,delivered
70,260,5,Sumgait,117.85,2025-07-05,cancelled
71,76,6,Mingachevir,39.44,2025-11-25,returned
72,97,11,Baku,177.66,2025-01-27,failed
73,885,10,Baku,245.28,2025-06-05,cancelled
74,914,2,Baku,52.28,2025-12-01,returned
75,86,2,Lankaran,160.76,2025-07-27,returned
76,475,8,Ganja,101.05,2025-06-27,delivered
77,718,19,Shaki,97.73,2025-03-30,failed
78,940,8,Baku,82.94,2025-12-09,cancelled
79,746,9,Shaki,109.05,2025-01-31,returned
80,110,20,Ganja,63.77,2025-05-27,returned
81,288,19,Lankaran,158.18,2025-10-02,cancelled
82,759,14,Lankaran,185.55,2025-11-15,returned
83,276,1,Lankaran,84.58,2025-08-21,returned
84,985,14,Mingachevir,10.67,2025-04-09,cancelled
85,452,13,Shaki,100.69,2025-05-06,returned
86,362,20,Ganja,89.0,2025-02-07,delivered
87,768,6,Lankaran,75.66,2025-02-07,returned
88,824,7,Baku,261.79,2025-08-27,cancelled
89,405,7,Lankaran,192.43,2025-07-06,delivered
90,73,3,Baku,71.18,2025-05-23,delivered
91,784,8,Lankaran,55.17,2025-01-08,cancelled
92,505,5,Lankaran,263.06,2025-01-03,failed
93,728,9,Baku,95.0,2025-09-05,delivered
94,568,13,Shaki,39.7,2025-05-16,returned
95,702,12,Shaki,93.07,2025-10-15,failed
96,290,17,Ganja,122.56,2025-01-28,returned
97,92,4,Lankaran,286.73,2025-02-12,cancelled
98,843,12,Shaki,147.58,2025-11-29,failed
99,939,10,Baku,78.8,2025-06-08,delivered
100,560,8,Ganja,160.65,2025-06-22,failed
101,767,12,Mingachevir,197.8,2025-07-03,returned
102,623,3,Mingachevir,76.44,2025-01-13,returned
103,756,5,Shaki,195.94,2025-08-15,delivered
104,259,11,Sumgait,189.36,2025-05-06,returned
105,867,14,Mingachevir,85.78,2025-08-04,failed
106,510,14,Shaki,139.11,2025-04-03,failed
107,138,19,Ganja,185.57,2025-10-29,returned
108,583,14,Mingachevir,148.9,2025-06-18,returned
109,804,6,Lankaran,208.9,2025-10-04,delivered
110,489,1,Shaki,56.78,2025-05-14,delivered
111,349,14,Ganja,280.86,2025-09-13,returned
112,586,3,Shaki,151.67,2025-11-13,returned
113,480,8,Lankaran,141.46,2025-06-29,delivered
114,706,15,Sumgait,287.29,2025-12-28,cancelled
115,296,5,Shaki,125.42,2025-11-19,delivered
116,36,16,Ganja,17.73,2025-12-31,failed
117,966,17,Mingachevir,86.96,2025-04-11,returned
118,467,20,Ganja,279.09,2025-05-18,failed
119,398,19,Baku,293.91,2025-10-03,delivered
120,400,14,Ganja,148.24,2025-05-08,failed
121,117,18,Baku,120.53,2025-04-23,cancelled
122,986,17,Lankaran,280.2,2025-01-08,failed
123,796,15,Baku,174.4,2025-11-25,returned
124,824,5,Sumgait,96.83,2025-02-03,delivered
125,476,12,Shaki,108.35,2025-11-25,cancelled
126,743,14,Ganja,218.27,2025-11-07,returned
127,417,9,Mingachevir,146.52,2025-10-11,delivered
128,246,19,Lankaran,110.5,2025-05-25,returned
129,795,14,Shaki,226.06,2025-11-08,cancelled
130,590,8,Baku,299.71,2025-01-02,failed
131,547,3,Lankaran,82.88,2025-02-16,cancelled
132,792,19,Sumgait,144.53,2025-03-04,delivered
133,756,5,Baku,136.89,2025-01-07,cancelled
134,232,17,Ganja,112.67,2025-03-15,returned
135,235,15,Ganja,298.79,2025-07-29,delivered
136,936,8,Ganja,255.51,2025-08-18,failed
137,677,1,Baku,264.36,2025-09-07,cancelled
138,481,18,Mingachevir,116.35,2025-08-06,returned
139,76,9,Ganja,135.88,2025-04-02,failed
140,14,14,Baku,194.87,2025-02-20,failed
141,710,10,Baku,111.47,2025-04-28,failed
142,235,13,Baku,190.79,2025-08-03,cancelled
143,355,15,Ganja,33.3,2025-06-05,failed
144,296,16,Lankaran,85.51,2025-03-17,cancelled
145,813,13,Sumgait,165.18,2025-11-24,delivered
146,513,3,Lankaran,64.04,2025-06-19,returned
147,174,17,Lankaran,114.19,2025-04-07,failed
148,187,4,Ganja,191.06,2025-07-21,delivered
149,676,13,Shaki,50.9,2025-07-31,cancelled
150,402,3,Baku,28.47,2025-09-23,returned
151,136,10,Lankaran,57.7,2025-07-10,returned
152,789,16,Shaki,133.07,2025-04-04,returned
153,598,16,Mingachevir,29.97,2025-01-02,returned
154,378,19,Mingachevir,6.62,2025-04-19,failed
155,391,3,Ganja,53.19,2025-04-25,failed
156,965,2,Sumgait,35.07,2025-11-02,returned
157,877,10,Shaki,239.75,2025-08-30,cancelled
158,841,11,Baku,24.37,2025-06-25,cancelled
159,643,10,Lankaran,48.98,2025-04-10,delivered
160,429,13,Shaki,110.28,2025-10-25,delivered
161,674,2,Shaki,294.59,2025-01-28,failed
162,944,6,Shaki,76.0,2025-04-05,cancelled
163,912,4,Ganja,138.89,2025-02-18,cancelled
164,522,5,Lankaran,282.82,2025-11-29,cancelled
165,529,6,Lankaran,105.87,2025-04-05,failed
166,638,8,Shaki,278.99,2025-06-19,cancelled
167,258,20,Ganja,268.29,2025-12-28,returned
168,634,19,Ganja,289.2,2025-06-06,delivered
169,154,19,Ganja,223.7,2025-10-06,cancelled
170,95,18,Ganja,282.35,2025-04-14,delivered
171,122,14,Mingachevir,106.15,2025-12-27,delivered
172,648,6,Ganja,220.33,2025-11-07,cancelled
173,863,16,Baku,117.99,2025-01-04,failed
174,86,13,Baku,93.0,2025-01-16,returned
